donation_id,donor_type,food_type,quantity,unit,latitude,longitude,vegetarian,vegan,perishability,hours_until_expiry,pickup_required
D0001,hotel,fruits,25.0,kg,26.916922,75.770024,1,1,medium,12.0,1
D0002,restaurant,bakery,30.0,meals,26.927269,75.813127,1,1,high,6.0,1
D0003,institution,bakery,20.0,meals,26.83825,75.797872,1,0,high,6.0,1
D0004,hotel,packaged_food,200.0,meals,26.918561,75.738435,1,0,low,72.0,1
D0005,restaurant,packaged_food,75.0,meals,26.853126,75.799693,1,0,low,72.0,1
D0006,restaurant,fruits,80.0,kg,26.815006,75.836875,1,1,medium,18.0,1
D0007,caterer,vegetables,15.0,kg,26.913251,75.829818,1,1,medium,30.0,1
D0008,institution,fruits,80.0,kg,26.925883,75.773311,1,1,medium,12.0,1
D0009,restaurant,fruits,15.0,kg,26.89844,75.793165,1,1,medium,12.0,1
D0010,caterer,fruits,25.0,kg,26.915712,75.805005,1,1,medium,18.0,1
D0011,event,cooked_meal,50.0,meals,26.844079,75.799629,0,0,high,6.0,1
D0012,hotel,bakery,75.0,meals,26.90979,75.754605,1,0,high,3.0,1
D0013,hotel,vegetables,40.0,kg,26.857137,75.816589,1,1,medium,6.0,1
D0014,event,fruits,25.0,kg,26.832299,75.844441,1,1,medium,24.0,1
D0015,institution,packaged_food,100.0,meals,26.918276,75.833695,1,0,low,48.0,1
D0016,caterer,bakery,150.0,meals,26.91719,75.76037,1,1,high,6.0,1
D0017,restaurant,bakery,200.0,meals,26.903297,75.805396,1,0,high,1.0,1
D0018,event,vegetables,80.0,kg,26.908341,75.794332,1,1,medium,6.0,1
D0019,institution,bakery,100.0,meals,26.849661,75.826135,1,0,high,6.0,1
D0020,caterer,bakery,100.0,meals,26.920859,75.743409,1,0,high,3.0,1
D0021,household,fruits,80.0,kg,26.844584,75.803818,1,1,medium,12.0,1
D0022,household,fruits,150.0,kg,26.832283,75.855465,1,1,medium,30.0,1
D0023,restaurant,packaged_food,20.0,meals,26.896035,75.823914,1,1,low,72.0,1
D0024,hotel,fruits,25.0,kg,26.902612,75.764016,1,1,medium,6.0,1
D0025,institution,cooked_meal,200.0,meals,26.92466,75.803556,0,0,high,1.0,1
D0026,event,fruits,80.0,kg,26.918798,75.808512,1,1,medium,30.0,1
D0027,event,packaged_food,100.0,meals,26.86856,75.823692,1,1,low,96.0,1
D0028,restaurant,packaged_food,75.0,meals,26.92666,75.735035,1,1,low,24.0,1
D0029,hotel,packaged_food,20.0,meals,26.849564,75.79569,1,0,low,24.0,1
D0030,hotel,fruits,15.0,kg,26.80487,75.824971,1,1,medium,30.0,1
D0031,hotel,bakery,50.0,meals,26.898615,75.82797,1,1,high,6.0,1
D0032,caterer,packaged_food,30.0,meals,26.924431,75.780184,1,1,low,24.0,1
D0033,restaurant,cooked_meal,30.0,meals,26.909921,75.786101,1,1,high,1.0,1
D0034,hotel,vegetables,25.0,kg,26.911448,75.795432,1,1,medium,24.0,1
D0035,institution,cooked_meal,200.0,meals,26.846318,75.799005,0,0,high,6.0,1
D0036,event,cooked_meal,75.0,meals,26.929893,75.749022,1,1,high,2.0,1
D0037,caterer,cooked_meal,50.0,meals,26.837416,75.801903,0,1,high,4.0,1
D0038,institution,fruits,60.0,kg,26.832733,75.852362,1,1,medium,30.0,1
D0039,household,fruits,25.0,kg,26.912884,75.815945,1,1,medium,6.0,1
D0040,household,fruits,15.0,kg,26.922846,75.753031,1,1,medium,6.0,1
D0041,hotel,bakery,50.0,meals,26.911647,75.802554,1,0,high,1.0,1
D0042,household,packaged_food,150.0,meals,26.905606,75.790985,1,0,low,24.0,1
D0043,household,vegetables,100.0,kg,26.856565,75.81244,1,1,medium,30.0,1
D0044,event,packaged_food,120.0,meals,26.914439,75.752611,1,1,low,48.0,1
D0045,restaurant,vegetables,40.0,kg,26.834728,75.810789,1,1,medium,6.0,1
D0046,hotel,cooked_meal,30.0,meals,26.817547,75.860115,0,1,high,6.0,1
D0047,event,packaged_food,120.0,meals,26.919852,75.842352,1,0,low,72.0,1
D0048,institution,bakery,20.0,meals,26.926024,75.776403,1,1,high,6.0,1
D0049,institution,fruits,15.0,kg,26.899543,75.801053,1,1,medium,6.0,1
D0050,institution,bakery,75.0,meals,26.921326,75.798419,1,0,high,3.0,1
D0051,restaurant,vegetables,40.0,kg,26.857854,75.79952,1,1,medium,6.0,1
D0052,hotel,cooked_meal,20.0,meals,26.918055,75.748779,0,1,high,3.0,1
D0053,restaurant,vegetables,80.0,kg,26.854524,75.807379,1,1,medium,6.0,1
D0054,event,packaged_food,20.0,meals,26.805124,75.855923,1,0,low,72.0,1
D0055,caterer,cooked_meal,120.0,meals,26.893717,75.821526,0,0,high,2.0,1
D0056,hotel,vegetables,80.0,kg,26.924285,75.782972,1,1,medium,12.0,1
D0057,institution,packaged_food,150.0,meals,26.924225,75.80462,1,0,low,24.0,1
D0058,caterer,vegetables,150.0,kg,26.933367,75.816971,1,1,medium,12.0,1
D0059,event,vegetables,150.0,kg,26.842447,75.815417,1,1,medium,6.0,1
D0060,hotel,vegetables,40.0,kg,26.904698,75.748315,1,1,medium,18.0,1
D0061,restaurant,vegetables,40.0,kg,26.837714,75.811317,1,1,medium,18.0,1
D0062,restaurant,bakery,150.0,meals,26.834042,75.833973,1,1,high,6.0,1
D0063,household,packaged_food,100.0,meals,26.893325,75.845608,1,0,low,24.0,1
D0064,household,fruits,60.0,kg,26.913078,75.777313,1,1,medium,30.0,1
D0065,restaurant,packaged_food,100.0,meals,26.899934,75.801831,1,1,low,24.0,1
D0066,institution,packaged_food,120.0,meals,26.920246,75.817849,1,0,low,96.0,1
D0067,caterer,cooked_meal,100.0,meals,26.867147,75.812577,1,1,high,6.0,1
D0068,institution,packaged_food,75.0,meals,26.910535,75.729368,1,1,low,96.0,1
D0069,caterer,bakery,100.0,meals,26.854748,75.793651,1,0,high,4.0,1
D0070,event,bakery,120.0,meals,26.811989,75.839452,1,1,high,4.0,1
D0071,restaurant,packaged_food,30.0,meals,26.911496,75.828906,1,1,low,72.0,1
D0072,hotel,fruits,25.0,kg,26.925527,75.778134,1,1,medium,12.0,1
D0073,event,vegetables,80.0,kg,26.896976,75.77802,1,1,medium,6.0,1
D0074,hotel,packaged_food,150.0,meals,26.916825,75.81142,1,1,low,96.0,1
D0075,restaurant,cooked_meal,150.0,meals,26.84207,75.814921,0,1,high,2.0,1
D0076,event,cooked_meal,200.0,meals,26.915562,75.751984,1,1,high,2.0,1
D0077,hotel,bakery,150.0,meals,26.850354,75.813471,1,1,high,6.0,1
D0078,institution,fruits,150.0,kg,26.826802,75.84108,1,1,medium,12.0,1
D0079,caterer,vegetables,100.0,kg,26.898578,75.838599,1,1,medium,12.0,1
D0080,household,packaged_food,100.0,meals,26.91325,75.776767,1,1,low,72.0,1
D0081,institution,vegetables,100.0,kg,26.898797,75.7746,1,1,medium,12.0,1
D0082,event,fruits,80.0,kg,26.910323,75.803603,1,1,medium,24.0,1
D0083,institution,vegetables,150.0,kg,26.839303,75.820201,1,1,medium,30.0,1
D0084,caterer,bakery,150.0,meals,26.898117,75.750645,1,0,high,4.0,1
D0085,household,vegetables,80.0,kg,26.840169,75.801501,1,1,medium,30.0,1
D0086,restaurant,fruits,60.0,kg,26.831802,75.841572,1,1,medium,24.0,1
D0087,event,vegetables,100.0,kg,26.902195,75.834642,1,1,medium,12.0,1
D0088,restaurant,bakery,20.0,meals,26.928807,75.786485,1,0,high,4.0,1
D0089,caterer,vegetables,25.0,kg,26.91703,75.77405,1,1,medium,6.0,1
D0090,caterer,fruits,40.0,kg,26.915679,75.796212,1,1,medium,24.0,1
D0091,event,fruits,150.0,kg,26.861673,75.820166,1,1,medium,6.0,1
D0092,institution,fruits,25.0,kg,26.898112,75.738234,1,1,medium,6.0,1
D0093,hotel,packaged_food,75.0,meals,26.831789,75.788453,1,0,low,24.0,1
D0094,caterer,bakery,75.0,meals,26.806777,75.848158,1,1,high,4.0,1
D0095,caterer,cooked_meal,50.0,meals,26.895026,75.832401,0,0,high,3.0,1
D0096,restaurant,vegetables,60.0,kg,26.917658,75.783841,1,1,medium,12.0,1
D0097,household,packaged_food,30.0,meals,26.915387,75.799323,1,0,low,72.0,1
D0098,restaurant,vegetables,100.0,kg,26.928767,75.801142,1,1,medium,18.0,1
D0099,restaurant,vegetables,150.0,kg,26.853693,75.802328,1,1,medium,24.0,1
D0100,event,vegetables,100.0,kg,26.911544,75.731788,1,1,medium,12.0,1
D0101,event,fruits,80.0,kg,26.836196,75.806291,1,1,medium,30.0,1
D0102,restaurant,bakery,100.0,meals,26.817761,75.853838,1,0,high,3.0,1
D0103,institution,vegetables,80.0,kg,26.89863,75.826711,1,1,medium,30.0,1
D0104,hotel,fruits,25.0,kg,26.911275,75.751858,1,1,medium,24.0,1
D0105,household,fruits,80.0,kg,26.907692,75.778511,1,1,medium,18.0,1
D0106,institution,cooked_meal,75.0,meals,26.903713,75.822998,1,0,high,4.0,1
D0107,restaurant,vegetables,150.0,kg,26.852725,75.815801,1,1,medium,6.0,1
D0108,household,packaged_food,100.0,meals,26.907027,75.733323,1,1,low,72.0,1
D0109,caterer,bakery,120.0,meals,26.847703,75.802792,1,1,high,3.0,1
D0110,hotel,packaged_food,120.0,meals,26.812628,75.832207,1,0,low,24.0,1
D0111,caterer,bakery,100.0,meals,26.896602,75.827925,1,0,high,1.0,1
D0112,household,cooked_meal,50.0,meals,26.906362,75.757341,0,0,high,3.0,1
D0113,household,vegetables,15.0,kg,26.905658,75.803452,1,1,medium,6.0,1
D0114,caterer,fruits,25.0,kg,26.912606,75.805926,1,1,medium,6.0,1
D0115,hotel,cooked_meal,150.0,meals,26.867805,75.80729,0,0,high,4.0,1
D0116,restaurant,fruits,15.0,kg,26.902323,75.739086,1,1,medium,12.0,1
D0117,event,bakery,75.0,meals,26.848583,75.802453,1,1,high,6.0,1
D0118,household,bakery,150.0,meals,26.832149,75.834636,1,0,high,3.0,1
D0119,hotel,packaged_food,75.0,meals,26.920722,75.813924,1,0,low,72.0,1
D0120,institution,packaged_food,20.0,meals,26.906763,75.770891,1,1,low,96.0,1
D0121,restaurant,packaged_food,100.0,meals,26.915443,75.779708,1,1,low,72.0,1
D0122,household,bakery,75.0,meals,26.925677,75.822119,1,0,high,4.0,1
D0123,restaurant,fruits,150.0,kg,26.844575,75.79534,1,1,medium,12.0,1
D0124,event,bakery,100.0,meals,26.899418,75.747443,1,0,high,4.0,1
