ngo_id,ngo_name,latitude,longitude,food_types,vegetarian,vegan,current_demand_meals,max_capacity_meals,current_demand_kg,max_capacity_kg,pickup_radius_km,reliability_score
NGO001,Hope Foundation,26.9124,75.7873,cooked_meal|packaged_food|fruits,1,0,80,150,50,100,10,0.92
NGO002,Helping Hands,26.9200,75.7900,cooked_meal|vegetables,1,0,40,100,60,100,8,0.88
NGO003,Food For All,26.9000,75.8100,packaged_food|fruits,1,1,120,200,80,200,15,0.95
NGO004,Annapurna Trust,26.9300,75.7750,cooked_meal|vegetables|fruits,1,0,70,100,100,150,12,0.90
NGO005,Seva Kitchen,26.9500,75.8000,cooked_meal,1,0,90,120,0,0,10,0.85
NGO006,Care Foundation,26.8800,75.7600,packaged_food|cooked_meal,1,1,30,80,40,80,20,0.91
NGO007,Community Meals,26.9150,75.8200,cooked_meal|vegetables,1,0,150,200,120,200,10,0.94
NGO008,Green Aid,26.9400,75.7500,fruits|vegetables|packaged_food,1,1,60,120,100,180,15,0.89
NGO009,Hope Kitchen,26.8950,75.7850,cooked_meal|packaged_food,1,0,100,180,50,100,12,0.93
NGO010,Helping Community,26.9250,75.8050,cooked_meal|fruits,1,0,50,100,60,100,8,0.87
